iter	Passed	Remaining
0	1	183
1	3	175
2	5	174
3	6	161
4	8	162
5	10	164
6	12	165
7	14	161
8	15	158
9	17	155
10	19	155
11	20	152
12	22	149
13	24	147
14	26	147
15	27	145
16	29	142
17	30	140
18	32	139
19	34	138
20	36	137
21	38	136
22	41	139
23	43	137
24	44	134
25	46	132
26	48	130
27	49	128
28	51	126
29	53	124
30	54	122
31	56	120
32	58	119
33	60	117
34	62	115
35	64	113
36	65	112
37	67	110
38	69	109
39	73	110
40	75	108
41	75	104
42	77	102
43	79	100
44	80	98
45	82	96
46	84	94
47	85	92
48	87	91
49	89	89
50	91	87
51	92	85
52	94	83
53	96	81
54	97	79
55	98	77
56	100	75
57	102	73
58	109	76
59	112	75
60	115	73
61	116	71
62	118	69
63	120	67
64	122	65
65	123	63
66	125	61
67	128	60
68	130	58
69	131	56
70	135	55
71	136	53
72	138	51
73	139	49
74	141	47
75	143	45
76	144	43
77	146	41
78	148	39
79	150	37
80	152	35
81	155	34
82	157	32
83	159	30
84	184	32
85	186	30
86	187	28
87	189	25
88	191	23
89	193	21
90	196	19
91	198	17
92	200	15
93	201	12
94	203	10
95	205	8
96	206	6
97	208	4
98	211	2
99	213	0
