iter	Passed	Remaining
0	156	156604
1	160	80214
2	162	53973
3	164	40847
4	166	33058
5	167	27777
6	169	24022
7	171	21302
8	184	20268
9	188	18641
10	192	17266
11	193	15957
12	197	15022
13	200	14090
14	201	13259
15	203	12545
16	206	11919
17	207	11334
18	209	10827
19	211	10373
20	213	9970
21	215	9599
22	239	10181
23	244	9931
24	246	9596
25	247	9288
26	250	9009
27	252	8781
28	254	8526
29	258	8348
30	259	8127
31	261	7915
32	263	7714
33	265	7534
34	268	7404
35	270	7238
36	271	7078
37	273	6929
38	275	6786
39	289	6936
40	290	6800
41	292	6671
42	294	6547
43	295	6429
44	298	6343
45	300	6238
46	302	6134
47	304	6037
48	306	5942
49	307	5850
50	309	5760
51	311	5671
52	314	5621
53	316	5541
54	318	5470
55	330	5572
56	332	5496
57	334	5427
58	336	5360
59	337	5291
60	339	5224
61	341	5160
62	342	5100
63	346	5066
64	348	5012
65	353	4997
66	355	4946
67	357	4897
68	360	4867
69	362	4817
70	364	4764
71	365	4714
72	367	4667
73	369	4620
74	370	4574
75	373	4546
76	376	4508
77	377	4463
78	380	4433
79	382	4395
80	384	4358
81	385	4320
82	386	4273
83	390	4258
84	392	4226
85	394	4193
86	396	4159
87	397	4123
88	412	4226
89	414	4191
90	416	4157
91	417	4123
92	421	4112
93	423	4083
94	425	4052
95	427	4023
96	429	3995
97	431	3967
98	433	3940
99	437	3940
100	439	3912
101	442	3899
102	444	3874
103	447	3851
104	471	4015
105	483	4079
106	486	4063
107	488	4034
108	490	4010
109	492	3985
110	494	3958
111	496	3935
112	498	3909
113	500	3891
114	504	3883
115	507	3863
116	508	3837
117	510	3813
118	512	3794
119	514	3773
120	552	4014
121	553	3986
122	555	3963
123	557	3941
124	559	3917
125	561	3893
126	562	3867
127	565	3855
128	567	3832
129	569	3809
130	571	3787
131	578	3803
132	581	3790
133	583	3770
134	587	3767
135	589	3746
136	593	3737
137	595	3716
138	597	3702
139	600	3686
140	602	3667
141	603	3644
142	604	3624
143	606	3605
144	608	3587
145	613	3588
146	615	3571
147	617	3557
148	619	3539
149	621	3521
150	623	3503
151	627	3502
152	629	3487
153	638	3509
154	640	3491
155	645	3490
156	647	3478
157	649	3461
158	651	3444
159	652	3427
160	653	3407
161	655	3391
162	659	3385
163	661	3369
164	662	3353
165	664	3339
166	666	3325
167	668	3310
168	670	3295
169	694	3391
170	696	3377
171	698	3361
172	699	3345
173	701	3329
174	703	3316
175	713	3342
176	715	3327
177	717	3313
178	719	3299
179	722	3292
180	724	3278
181	725	3262
182	730	3262
183	733	3253
184	735	3240
185	739	3236
186	741	3224
187	743	3211
188	745	3198
189	747	3185
190	748	3172
191	750	3160
192	755	3159
193	757	3145
194	760	3138
195	762	3128
196	764	3114
197	765	3102
198	769	3097
199	771	3086
200	777	3089
201	778	3077
202	780	3066
203	806	3145
204	812	3150
205	813	3137
206	836	3202
207	837	3190
208	839	3177
209	843	3172
210	845	3161
211	847	3148
212	848	3135
213	850	3124
214	852	3113
215	854	3102
216	856	3090
217	861	3092
218	865	3086
219	925	3283
220	927	3270
221	931	3265
222	934	3254
223	936	3243
224	941	3242
225	943	3230
226	954	3249
227	958	3245
228	963	3243
229	964	3230
230	966	3217
231	973	3224
232	982	3235
233	989	3238
234	1058	3446
235	1068	3459
236	1113	3583
237	1115	3570
238	1117	3557
239	1122	3555
240	1124	3541
241	1128	3534
242	1131	3523
243	1132	3509
244	1141	3516
245	1146	3512
246	1147	3499
247	1150	3487
248	1217	3670
249	1229	3689
250	1234	3682
251	1237	3672
252	1239	3659
253	1241	3645
254	1243	3632
255	1245	3618
256	1250	3614
257	1252	3601
258	1254	3588
259	1257	3578
260	1259	3565
261	1261	3552
262	1264	3542
263	1265	3529
264	1267	3515
265	1311	3619
266	1313	3606
267	1315	3592
268	1317	3579
269	1326	3587
270	1328	3574
271	1330	3560
272	1332	3547
273	1337	3543
274	1339	3530
275	1340	3517
276	1342	3504
277	1345	3494
278	1347	3482
279	1352	3477
280	1354	3465
281	1357	3455
282	1359	3443
283	1361	3431
284	1366	3427
285	1370	3421
286	1372	3409
287	1375	3400
288	1385	3408
289	1387	3396
290	1389	3385
291	1397	3388
292	1401	3382
293	1404	3372
294	1406	3361
295	1447	3442
296	1449	3431
297	1451	3419
298	1453	3407
299	1455	3395
300	1459	3390
301	1461	3378
302	1485	3416
303	1487	3405
304	1494	3404
305	1495	3392
306	1498	3382
307	1500	3370
308	1501	3358
309	1505	3350
310	1508	3342
311	1511	3333
312	1514	3323
313	1516	3312
314	1524	3314
315	1526	3305
316	1528	3293
317	1543	3310
318	1561	3333
319	1563	3321
320	1566	3312
321	1572	3310
322	1573	3298
323	1576	3290
324	1580	3281
325	1581	3270
326	1594	3281
327	1596	3271
328	1601	3265
329	1603	3255
330	1605	3244
331	1609	3237
332	1611	3228
333	1657	3305
334	1659	3294
335	1661	3283
336	1666	3278
337	1668	3267
338	1670	3257
339	1672	3247
340	1675	3238
341	1678	3229
342	1683	3225
343	1688	3219
344	1692	3213
345	1701	3216
346	1703	3205
347	1705	3194
348	1725	3219
349	1733	3220
350	1737	3211
351	1739	3202
352	1741	3192
353	1746	3186
354	1747	3175
355	1750	3167
356	1752	3155
357	1754	3145
358	1756	3135
359	1760	3130
360	1763	3120
361	1767	3114
362	1770	3106
363	1781	3113
